P8,ASUS ROG Strix G15 Gaming Laptop,1049.99 $,3
P10,Acer Nitro 5 AN515-55-53E5 Gaming Laptop,699.99 $,17
P1,Acer Aspire 5 A515-56-36UT,289.99 $,7
P10,Acer Nitro 5 AN515-55-53E5 Gaming Laptop,699.99 $,3
P12,Apple MacBook Pro,1239.75 $,4
P14,HP 15 Laptop,525 $,11
P9,Acer Aspire 5 Slim Laptop,367.65 $,4
P8,ASUS ROG Strix G15 Gaming Laptop,1049.99 $,3
P3,ASUS Laptop L210,152 $,5
P5,HP 14 Laptop,209.99 $,9
P1,Acer Aspire 5 A515-56-36UT,289.99 $,9
P2,Lenovo Ideapad 3,395.57 $,3
P4,Lenovo Ideapad 3,286.73 $,3
P5,HP 14 Laptop,209.99 $,3
